,0
0,"Abbeville County, South Carolina"
1,"Accomack County, Virginia"
2,"Ada County, Idaho"
3,"Adair County, Iowa"
4,"Adair County, Kentucky"
5,"Adair County, Missouri"
6,"Adams County, Colorado"
7,"Adams County, Illinois"
8,"Adams County, Indiana"
9,"Adams County, Mississippi"
10,"Adams County, Nebraska"
11,"Adams County, Ohio"
12,"Adams County, Pennsylvania"
13,"Adams County, Washington"
14,"Adams County, Wisconsin"
15,"Addison County, Vermont"
16,"Aiken County, South Carolina"
17,"Alachua County, Florida"
18,"Alamance County, North Carolina"
19,"Alameda County, California"
20,"Alamosa County, Colorado"
21,"Albany County, New York"
22,"Albany County, Wyoming"
23,"Albemarle County, Virginia"
24,"Alcorn County, Mississippi"
25,"Alexander County, North Carolina"
26,"Allegan County, Michigan"
27,"Allegany County, Maryland"
28,"Allegany County, New York"
29,"Allegheny County, Pennsylvania"
30,"Allen County, Indiana"
31,"Allen County, Kentucky"
32,"Allen County, Ohio"
33,"Alpena County, Michigan"
34,"Amador County, California"
35,"Amelia County, Virginia"
36,"Amherst County, Virginia"
37,"Anderson County, Kentucky"
38,"Anderson County, South Carolina"
39,"Anderson County, Tennessee"
40,"Anderson County, Texas"
41,"Andrew County, Missouri"
42,"Andrews County, Texas"
43,"Androscoggin County, Maine"
44,"Angelina County, Texas"
45,"Anne Arundel County, Maryland"
46,"Anoka County, Minnesota"
47,"Anson County, North Carolina"
48,"Antrim County, Michigan"
49,"Apache County, Arizona"
50,"Appling County, Georgia"
51,"Aransas County, Texas"
52,"Arapahoe County, Colorado"
53,"Archuleta County, Colorado"
54,"Arkansas County, Arkansas"
55,"Arlington County, Virginia"
56,"Armstrong County, Pennsylvania"
57,"Aroostook County, Maine"
58,"Ashe County, North Carolina"
59,"Ashland County, Ohio"
60,"Ashley County, Arkansas"
61,"Ashtabula County, Ohio"
62,"Atascosa County, Texas"
63,"Atchison County, Kansas"
64,"Athens County, Ohio"
65,"Atlantic County, New Jersey"
66,"Atoka County, Oklahoma"
67,"Attala County, Mississippi"
68,"Audrain County, Missouri"
69,"Auglaize County, Ohio"
70,"Augusta County, Virginia"
71,"Austin County, Texas"
72,"Autauga County, Alabama"
73,"Avery County, North Carolina"
74,"Baker County, Florida"
75,"Baldwin County, Alabama"
76,"Baldwin County, Georgia"
77,"Baltimore County, Maryland"
78,"Bandera County, Texas"
79,"Banks County, Georgia"
80,"Bannock County, Idaho"
81,"Barbour County, Alabama"
82,"Barnstable County, Massachusetts"
83,"Barnwell County, South Carolina"
84,"Barren County, Kentucky"
85,"Barron County, Wisconsin"
86,"Barrow County, Georgia"
